Source,,,,,Bronze Layer,,,,,,Silver 1,,,,,,,,,,
Source System,File/Table Name,Source Field Name,Data Type,Data Length,Schema Name,Table Name,Field Name,Data Type,Data Length,Transformation Rules,Schema Name,Table Name,Proposed Table Name,Physical Field NM,Physical Field NM (Temp),Logical Field Name,Data Type,Data Length,Business Rule,SQL Command,Transformation Rule
RLS,LFPPMLB,PAGTC10,numeric,"5, 2",BRZ_RLS,LFPPMLB,PAGTC10,number,"5, 2",Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,YR10_COMM_PCT,,10TH YEAR       COMM % ON BASIC PREMIUM,number,"5, 2",,,
RLS,LFPPMLB,PAGTC11,numeric,"5, 2",BRZ_RLS,LFPPMLB,PAGTC11,number,"5, 2",Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,YR11_COMM_PCT,,11TH YEAR       COMM % ON BASIC PREMIUM,number,"5, 2",,,
RLS,LFPPMLB,PPAGT1,numeric,"14, 0",BRZ_RLS,LFPPMLB,PPAGT1,number,"14, 0",Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,PROD_AGENT1_CD,,PROD AGENT 1 CODE,number,"14, 0",,,
RLS,LFPPMLB,PPAGT2,numeric,"14, 0",BRZ_RLS,LFPPMLB,PPAGT2,number,"14, 0",Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,PROD_AGENT2_CD,,PROD AGENT 2 CODE,number,"14, 0",,,
RLS,LFPPMLB,PPARTC,numeric,"5, 2",BRZ_RLS,LFPPMLB,PPARTC,number,"5, 2",Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,PARTIAL_COMM_PCT,,PARTIAL COMM %,number,"5, 2",,,
RLS,LFPPMLB,PNAMF,nvarchar,30,BRZ_RLS,LFPPMLB,PNAMF,varchar,,Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,INSURED_FIRST_NM,,INSURED  FIRST NAME,varchar,,,,
RLS,LFPPMLB,PNAME,nvarchar,50,BRZ_RLS,LFPPMLB,PNAME,varchar,,Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,INSURED_NM,,INSURED  NAME,varchar,,,,
RLS,LFPPMLB,PSEX,nvarchar,1,BRZ_RLS,LFPPMLB,PSEX,varchar,,Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,INSURED_GENDER,,SEX,varchar,,,,
RLS,LFPPMLB,PAGEI,numeric,"2, 0",BRZ_RLS,LFPPMLB,PAGEI,number,"2, 0",Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,ISSUE_AGE,,AGE AT ISSUE,number,"2, 0",,,
RLS,LFPPMLB,PDOB,numeric,"8, 0",BRZ_RLS,LFPPMLB,PDOB,number,"8, 0",Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,INSURED_DOB,,BIRTH DATE,number,"8, 0",,,
RLS,LFPPMLB,PID,nvarchar,20,BRZ_RLS,LFPPMLB,PID,varchar,,Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,INSURED_KTP_NO,,ID. NO.,varchar,,,,
RLS,LFPPMLB,PADR1,nvarchar,30,BRZ_RLS,LFPPMLB,PADR1,varchar,,Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,OWN_ADDR_1,,CORR ADDRESS 1,varchar,,,,
RLS,LFPPMLB,PADR2,nvarchar,30,BRZ_RLS,LFPPMLB,PADR2,varchar,,Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,OWN_ADDR_2,,CORR ADDRESS 2,varchar,,,,
RLS,LFPPMLB,PADR3,nvarchar,30,BRZ_RLS,LFPPMLB,PADR3,varchar,,Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,OWN_ADDR_3,,CORR ADDRESS 3,varchar,,,,
RLS,LFPPMLB,PADR4,nvarchar,30,BRZ_RLS,LFPPMLB,PADR4,varchar,,Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,OWN_ADDR_4,,CORR ADDRESS 4,varchar,,,,
RLS,LFPPMLB,PCTY,nvarchar,10,BRZ_RLS,LFPPMLB,PCTY,varchar,,Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,CORR_CITY,,CORR CITY CODE,varchar,,,,
RLS,LFPPMLB,PTEL1,nvarchar,15,BRZ_RLS,LFPPMLB,PTEL1,varchar,,Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,HOME_PHONE,,TEL-RES,varchar,,,,
RLS,LFPPMLB,PTEL2,nvarchar,15,BRZ_RLS,LFPPMLB,PTEL2,varchar,,Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,OFFICE_PHONE,,TEL-OFFICE,varchar,,,,
RLS,LFPPMLB,PMRSTU,nvarchar,1,BRZ_RLS,LFPPMLB,PMRSTU,varchar,,Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,MARITAL_STATUS_CD,,MARITAL STATUS,varchar,,,,
RLS,LFPPMLB,POWNRF,nvarchar,30,BRZ_RLS,LFPPMLB,POWNRF,varchar,,Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,OWN_FIRST_NM,,OWN FIRST NAME,varchar,,,,
RLS,LFPPMLB,POWNER,nvarchar,50,BRZ_RLS,LFPPMLB,POWNER,varchar,,Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,OWN_NM,,OWN,varchar,,,,
RLS,LFPPMLB,POWNID,nvarchar,20,BRZ_RLS,LFPPMLB,POWNID,varchar,,Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,OWN_KTP_NO,,OWN HKID,varchar,,,,
RLS,LFPPMLB,POWNDT,numeric,"8, 0",BRZ_RLS,LFPPMLB,POWNDT,number,"8, 0",Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,OWN_TRANSFER_DT,,DATE TRANSFER OWN,number,"8, 0",,,"TO_DATE(POWNDT::VARCHAR, 'YYYYMMDD')"
RLS,LFPPMLB,PFYC,nvarchar,1,BRZ_RLS,LFPPMLB,PFYC,varchar,,Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,FY_CHANGE_CD,,FY CHANGE CODE,varchar,,,,
RLS,LFPPMLB,PDOT,numeric,"8, 0",BRZ_RLS,LFPPMLB,PDOT,number,"8, 0",Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,LAST_MAINT_dT,,DATE LAST MAINT,number,"8, 0",,,"TO_DATE(PDOT::VARCHAR, 'YYYYMMDD')"
RLS,LFPPMLB,PTC,nvarchar,2,BRZ_RLS,LFPPMLB,PTC,varchar,,Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,MAINT_CD,,MAINT CODE,varchar,,,,
RLS,LFPPMLB,PTEFF,numeric,"8, 0",BRZ_RLS,LFPPMLB,PTEFF,number,"8, 0",Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,MAINT_EFF_DT,,MAINT EFFECTIVE,number,"8, 0",,,"TO_DATE(PTEFF::VARCHAR, 'YYYYMMDD')"
RLS,LFPPMLB,PREFF,numeric,"8, 0",BRZ_RLS,LFPPMLB,PREFF,number,"8, 0",Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,REINSTATE_EFF_DT,,REINSTATEMENT EFF DATE,number,"8, 0",,,"TO_DATE(PREFF::VARCHAR, 'YYYYMMDD')"
RLS,LFPPMLB,PRDT,numeric,"8, 0",BRZ_RLS,LFPPMLB,PRDT,number,"8, 0",Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,REINSTATE_TRAN_DT,,REINSTATEMENT TRAN DATE,number,"8, 0",,,"TO_DATE(PRDT::VARCHAR, 'YYYYMMDD')"
RLS,LFPPMLB,PBANK,nvarchar,3,BRZ_RLS,LFPPMLB,PBANK,varchar,,Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,BANK_CD,,BANK NO.,varchar,,,,
RLS,LFPPMLB,PBRN,nvarchar,4,BRZ_RLS,LFPPMLB,PBRN,varchar,,Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,BRANCH_CD,,BRANCH NO.,varchar,,,,
RLS,LFPPMLB,PAC,nvarchar,19,BRZ_RLS,LFPPMLB,PAC,varchar,,Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,BANK_ACCT_NO,,ACCOUNT NO.,varchar,,,,
RLS,LFPPMLB,PEMAL,nvarchar,50,BRZ_RLS,LFPPMLB,PEMAL,varchar,,Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,OWN_EMAIL,,OWN EMAIL ADDRESS,varchar,,,,
RLS,LFPPMLB,PIEMAL,nvarchar,50,BRZ_RLS,LFPPMLB,PIEMAL,varchar,,Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,INSURED_EMAIL,,INSURED EMAIL ADDRESS,varchar,,,,
RLS,LFPPMLB,PAESF,nvarchar,1,BRZ_RLS,LFPPMLB,PAESF,varchar,,Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,IS_E_SERVICE,,ALLOW E-SERVICE FLAG,varchar,,,,
RLS,LFPPMLB,PEBF,nvarchar,1,BRZ_RLS,LFPPMLB,PEBF,varchar,,Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,IS_E_BILLING,,USE E-BILLING FLAG,varchar,,,,
RLS,LFPPMLB,LASGNF,nvarchar,30,BRZ_RLS,LFPPMLB,LASGNF,varchar,,Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,ASSIGNEE_FIRST_NM,,ASSIGNEE FIRST NAME,varchar,,,,
RLS,LFPPMLB,LASSGN,nvarchar,50,BRZ_RLS,LFPPMLB,LASSGN,varchar,,Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,ASSIGNEE_NM,,ASSIGNEE,varchar,,,,
RLS,LFPPMLB,LASSID,nvarchar,15,BRZ_RLS,LFPPMLB,LASSID,varchar,,Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,ASSIGNEE_ID,,ASSIGNEE ID,varchar,,,,
RLS,LFPPMLB,LASSA1,nvarchar,30,BRZ_RLS,LFPPMLB,LASSA1,varchar,,Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,ASSIGNEE_ADDR1,,ASSIGNEE ADDRESS 1,varchar,,,,
RLS,LFPPMLB,LASSA2,nvarchar,30,BRZ_RLS,LFPPMLB,LASSA2,varchar,,Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,ASSIGNEE_ADDR2,,ASSIGNEE ADDRESS 2,varchar,,,,
RLS,LFPPMLB,LASSA3,nvarchar,30,BRZ_RLS,LFPPMLB,LASSA3,varchar,,Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,ASSIGNEE_ADDR3,,ASSIGNEE ADDRESS 3,varchar,,,,
RLS,LFPPMLB,LASSA4,nvarchar,30,BRZ_RLS,LFPPMLB,LASSA4,varchar,,Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,ASSIGNEE_ADDR4,,ASSIGNEE ADDRESS 4,varchar,,,,
RLS,LFPPMLB,LASCTY,nvarchar,10,BRZ_RLS,LFPPMLB,LASCTY,varchar,,Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,ASSIGNEE_CITY_CD,,ASSIGNEE CITY CODE,varchar,,,,
RLS,LFPPMLB,LPAYDB,numeric,"8, 0",BRZ_RLS,LFPPMLB,LPAYDB,number,"8, 0",Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,OWN_DOB,,OWN BIRTH DATE,number,"8, 0",,,
RLS,LFPPMLB,LPAYAG,numeric,"2, 0",BRZ_RLS,LFPPMLB,LPAYAG,number,"2, 0",Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,OWN_ISSUE_AGE,,OWN ISSUE AGE,number,"2, 0",,,
RLS,LFPPMLB,LPLAN,nvarchar,7,BRZ_RLS,LFPPMLB,LPLAN,varchar,,Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,PRODUCT_CD,,PLAN CODE,varchar,,,,
RLS,LFPPMLB,LPLANN,numeric,"6, 0",BRZ_RLS,LFPPMLB,LPLANN,number,"6, 0",Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,PLAN_NUM_CD,,NUMERIC CODE,number,"6, 0",,,
RLS,LFPPMLB,LSA,numeric,"14, 0",BRZ_RLS,LFPPMLB,LSA,number,"14, 0",Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,LIFE_SUM_INSURED_AMT,,LIFE SUM INSURED,number,"14, 0",,,
RLS,LFPPMLB,LCLS,nvarchar,3,BRZ_RLS,LFPPMLB,LCLS,varchar,,Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,CLASS_CD,,CLASS CODE,varchar,,,,
RLS,LFPPMLB,LPR,numeric,"7, 2",BRZ_RLS,LFPPMLB,LPR,number,"7, 2",Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,BASIC_PREMI_RATE,,BASIC PREMIUM RATE,number,"7, 2",,,
RLS,LFPPMLB,LPRL,numeric,"7, 2",BRZ_RLS,LFPPMLB,LPRL,number,"7, 2",Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,LOADING_PCT,,LOADING,number,"7, 2",,,
RLS,LFPPMLB,LPRLT,numeric,"7, 2",BRZ_RLS,LFPPMLB,LPRLT,number,"7, 2",Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,TEMP_LOADING_PCT,,TEMP. LOADING,number,"7, 2",,,
RLS,LFPPMLB,LPRLTE,numeric,"8, 0",BRZ_RLS,LFPPMLB,LPRLTE,number,"8, 0",Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,LOADING_EXP_DT,,LOADING EXPIRY,number,"8, 0",,,"TO_DATE(LPRLTE::VARCHAR, 'YYYYMMDD')"
RLS,LFPPMLB,LPRLTF,numeric,"5, 2",BRZ_RLS,LFPPMLB,LPRLTF,number,"5, 2",Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,PERM_FLAT_LOADING_PCT,,PERMANENT FLAT LOADING,number,"5, 2",,,
RLS,LFPPMLB,LEXCL,nvarchar,1,BRZ_RLS,LFPPMLB,LEXCL,varchar,,Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,EXCLUSION_CD,,EXCLUSION CODE,varchar,,,,
RLS,LFPPMLB,LASNCD,nvarchar,1,BRZ_RLS,LFPPMLB,LASNCD,varchar,,Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,ASSIGNMENT_CD,,ASSIGNMENT CODE,varchar,,,,
